표준코드,제품코드,제품명,규격,단위,상한금액,업체명,주성분코드,주성분명,투여,분류
8806505007429,650500741,제일제약황산마그네슘주사액50%_(10g/20mL/앰플),20,mL/앰플,3770,(주)제일제약,187631BIJ,magnesium sulfate   10g(0.5g/mL),주사,124
8806505007443,650500743,제일제약황산마그네슘주사액50%_(10g/20mL/앰플(P)),20,mL/앰플(P),3770,(주)제일제약,187631BIJ,magnesium sulfate   10g(0.5g/mL),주사,124
8806505008143,650500813,제일 멸균주사용수_(20mL/앰플(PE)),20,mL/앰플(PE),211,(주)제일제약,249201BIJ,water for injection,주사,713
8806505008334,650500831,제일탄산수소나트륨주사액8.4%_(1.68g/20mL),20,mL/앰플,536,(주)제일제약,228502BIJ,sodium bicarbonate   1.68g(84mg/mL),주사,392
8806505008426,650500841,제일페노바르비탈주사액(페노바르비탈나트륨)_(0.1g/1mL),1,mL/앰플,530,(주)제일제약,211830BIJ,phenobarbital sodium   0.1g(0.1g/mL),주사,112
8806505008624,650500861,제일포도당주사액_(4g/20mL),20,mL/앰플(P),281,(주)제일제약,142703BIJ,dextrose(20%)   4g(0.2g/mL),주사,323
8806505008846,650500883,제일아트로핀황산염주사액_(0.5mg/1mL),1,mL/앰플,266,(주)제일제약,111830BIJ,atropine sulfate   0.5mg(0.5mg/mL),주사,124
8806505008921,650500891,제일아트로핀황산염주사액_(10mg/20mL),20,mL/앰플,1835,(주)제일제약,111831BIJ,atropine sulfate   10mg(0.5mg/mL),주사,124
8806505009430,650500941,트렌자민주250밀리그람(트라넥삼산)_(0.25g/5mL),5,mL/앰플,466,(주)제일제약,242530BIJ,tranexamic acid   0.25g(50mg/mL),주사,332
8806505009522,650500951,트렌자민주500밀리그람(트라넥삼산)_(0.5g/5mL),5,mL/앰플,480,(주)제일제약,242531BIJ,tranexamic acid   0.5g(0.1g/mL),주사,332
8806505009928,650500991,프리판주(부틸스코폴라민브롬화물)_(20mg/1mL),1,mL/앰플,396,(주)제일제약,172330BIJ,hyoscine butylbromide   20mg(20mg/mL),주사,124
8806505014137,650501411,제일탄산수소나트륨주사액8.4%_(0.84g/10mL),10,mL/앰플,238,(주)제일제약,228536BIJ,sodium bicarbonate   0.84g(84mg/mL),주사,392
8806507000718,650700070,넥시움정20밀리그람(에스오메프라졸마그네슘)_(22.3mg/1정),1,정,721,한국아스트라제네카(주),367201ATB,esomeprazole magnesium (as esomeprazole   20mg),내복,232
8806507000817,650700080,넥시움정40밀리그람(에스오메프라졸마그네슘)_(44.5mg/1정),1,정,1001,한국아스트라제네카(주),367202ATB,esomeprazole magnesium (as esomeprazole   40mg),내복,232
8806507000923,650700091,넥시움주(에스오메프라졸나트륨)_(42.5mg/1병),1,병,4274,한국아스트라제네카(주),459401BIJ,esomeprazole sodium (as esomeprazole   40mg),주사,232
8806507001012,650700100,놀바덱스디정(타목시펜시트르산염)_(30.4mg/1정),1,정,634,한국아스트라제네카(주),234502ATB,tamoxifen citrate (as tamoxifen   20mg),내복,421
8806507001111,650700110,놀바덱스정(타목시펜시트르산염)_(15.2mg/1정),1,정,420,한국아스트라제네카(주),234501ATB,tamoxifen citrate (as tamoxifen   10mg),내복,421
8806507002514,650700251,심비코트터부헬러160/4.5마이크로그램_(60회),60,회/통,18598,한국아스트라제네카(주),543800CSI,budesonide(micronized)   9.6mg(0.16mg/회),외용,222
8806507002712,650700271,심비코트터부헬러160/4.5마이크로그램_(120회),120,회/통,27984,한국아스트라제네카(주),543900CSI,budesonide(micronized)   19.2mg(0.16mg/회),외용,222
8806507002811,650700281,심비코트터부헬러320/9마이크로그램_(60회),60,회/통,27779,한국아스트라제네카(주),544100CSI,budesonide(micronized)   19.2mg(0.32mg/회),외용,222
8806507002910,650700291,심비코트터부헬러80/4.5마이크로그램_(60회),60,회/통,13936,한국아스트라제네카(주),544000CSI,budesonide(micronized)   4.8mg(80μg/회),외용,222
8806507003818,650700380,아리미덱스정(아나스트로졸)_(1mg/1정),1,정,2838,한국아스트라제네카(주),109001ATB,anastrozole   1mg,내복,421
8806507004617,650700460,이레사정(게피티니브)_(0.25g/1정),1,정,31872,한국아스트라제네카(주),453001ATB,gefitinib   0.25g,내복,421
8806507004815,650700481,졸라덱스데포주사(초산고세렐린)_(3.78mg/1관),1,관,197366,한국아스트라제네카(주),167202BIJ,goserelin acetate (as goserelin   3.6mg),주사,421
8806507004914,650700491,졸라덱스엘에이데포주사(초산고세렐린)_(11.34mg/1관),1,관,532203,한국아스트라제네카(주),167201BIJ,goserelin acetate (as goserelin   10.8mg),주사,421
